samples,anno scavi,tipologia,Cronologie pre def,Cronologie pre def
P460,,boccali monoansati ,BA (forse più BA1),BA
P461,1886,boccali monoansati ,BA (forse più BA1),BA
P464,1901,boccali monoansati ,BA maturo-avanzato,BA
P477,,boccali monoansati ,BA,BA
P478,1901,orcioli,BA (forse più BA1),BA
P481,1886,orcioli,BA (forse più BA1),BA
P485,1886,orcioli,BA (forse più BA1),BA
P493,,anfore,BA,BA
P501,1901,tazze,BA (forse più BA1C/2),BA
P510,1886,scodelle/scodelloni,BA (non escludibile BM1),BA-BM
P511,1901,scodelle/scodelloni,BA (forse più BA1C/2),BA
P512,1901,scodelle/scodelloni,BA1C (dura anche in BA2?),BA
P513,1901,scodelle/scodelloni,BA1C (dura anche in BA2?),BA
P515,1886,scodelle/scodelloni,BA1C (dura anche in BA2?),BA
P518,1886,scodelle/scodelloni,BA,BA
P521,1901,scodelle/scodelloni,BA2,BA
P529,,scodelle/scodelloni,BA (forse più BA1C/2),BA
P534,1886,olle/ollette,BA (forse più BA1),BA
P547,1901,olle/ollette,BA (forse più BA2),BA
P554,1901,olle/ollette,BA,BA
P556a,1886,olle/ollette,BA,BA
P557,1886,olle/ollette,BA,BA
P558,,olle/ollette,BA,BA
P559,1886,olle/ollette,BA (forse più BA1),BA
P560b,1901,olle/ollette,BA,BA
P565,1901,olle/ollette,BA (forse più BA1),BA
P574,1886,olle/ollette,BA,BA
P583,1886,dolii,BA-BM(1?),BA-BM
P584,1886,dolii,BA,BA
P585,1886,dolii,BA-BM(1?),BA-BM
P588,1886,dolii,BA,BA
P594,1901,dolii,BA (probabilmente più BA1),BA
P595,1886,dolii,BA (probabilmente più BA1),BA
P599,1886,dolii,BA (probabilmente più BA1),BA
P605,1901,dolii,BA (probabilmente più BA1),BA
P610,1901,teglie,BA (forse più BA1),BA
P620,1886,teglie,BA,BA
P621,1901,fondi,BA-BM,BA-BM
P626,1886,fondi,BA,BA
P632,,anse,BA,BA
P633,1886,anse,BA,BA
P636,1886,decorazioni plastiche,BA-BM,BA-BM
P642,1886,decorazioni plastiche,BA-BM,BA-BM
P643,1901,decorazioni plastiche,BA (forse più BA1),BA
P647,1901,decorazioni plastiche,BA (non escludibile BM),BA-BM
P650,1886,decorazioni plastiche,BA (forse più BA1),BA
P654,1901,decorazioni plastiche,BA (forse più BA1),BA
P703,1886,,BA,BA
S8-8,,,,
